"id","lineID","entryGroupID","type","status"
"166","389","159","Siedl.","ok"
"167","391","160","Siedl.","ok"
"168","393","161","Siedl.","ok"
"169","395","162","Siedl.","ok"
"170","397","163","Siedl.","ok"
"171","399","164","Siedl.","ok"
"172","402","165","Siedl.","ok"
"173","405","166","Eth.","ok"
"174","407","167","Siedl.","ok"
"175","409","168","Siedl.","ok"
"176","411","169","Eth.","ok"
"177","413","170","Siedl.","ok"
"178","416","171","Siedl.","ok"
"179","418","172","Siedl.","ok"
"180","421","173","Siedl.","ok"
"181","423","174","Siedl.","ok"
"182","425","175","Siedl.","ok"
"183","427","176","Siedl.","ok"
"184","430","177","Siedl.","ok"
"185","432","178","Geb.","ok"
"186","434","179","Siedl.","ok"
"187","437","180","Siedl.","ok"
"188","440","181","Gewäs.","ok"
"189","442","182","Gewäs.","ok"
"190","445","183","Gewäs.","ok"
"191","447","184","Gewäs.","ok"
"192","449","185","Gewäs.","ok"
"193","451","186","Siedl.","ok"
"194","453","187","Gewäs.","ok"
"195","455","188","Gewäs.","ok"
"196","457","188","Gewäs.","ok"
"197","463","189","Gewäs.","ok"
"198","465","190","Gewäs.","ok"
"199","467","190","Gewäs.","ok"
"200","470","191","Gewäs.","ok"
"201","473","192","Gewäs.","ok"
"202","476","193","Lands.","ok"
"203","478","194","Gewäs.","ok"
"204","482","195","Gewäs.","ok"
"205","484","196","Gewäs.","ok"
"206","488","197","Gewäs.","ok"
"207","490","198","Gewäs.","ok"
"208","492","198","Lands.","ok"
"209","495","198","Gewäs.","ok"
"210","498","199","Lands.","ok"
"211","501","200","Gewäs.","ok"
"212","504","201","Gewäs.","ok"
"213","507","202","Gewäs.","ok"
"214","510","203","Siedl.","ok"
"215","512","204","Siedl.","ok"
"216","514","205","Siedl.","ok"
"217","516","206","Siedl.","ok"
"218","518","207","Siedl.","ok"
"219","520","208","Gewäs.","ok"
"220","523","209","Siedl.","ok"
"221","526","210","Siedl.","ok"
"222","528","211","Siedl.","ok"
"223","530","212","Siedl.","ok"
"224","532","213","Gewäs.","ok"
"225","535","214","Gewäs.","ok"
"226","537","215","Siedl.","ok"
"227","540","216","Lands.","ok"
"228","542","217","Gewäs.","ok"
"229","545","218","Gewäs.","ok"
"230","548","218","Gewäs.","ok"
"231","551","219","Gewäs.","ok"
"232","553","220","Siedl.","ok"
"233","555","220","Gewäs.","ok"
"234","555","220","Weg","ok"
"235","558","221","Gewäs.","ok"
"236","561","221","Gewäs.","ok"
"237","564","222","Gewäs.","ok"
"238","568","223","Gewäs.","ok"
"239","570","224","Gewäs.","ok"
"240","572","225","Gewäs.","ok"
"241","574","226","Gewäs.","ok"
"242","577","226","Gewäs.","ok"
"243","580","227","Siedl.","ok"
"244","583","228","Siedl.","ok"
"245","586","229","Siedl.","ok"
"246","589","230","Siedl.","ok"
"247","593","231","Admin.","ok"
"248","595","232","Gewäs.","ok"
"249","598","232","Gewäs.","ok"
"250","601","233","Siedl.","ok"
"251","604","234","Siedl.","ok"
"252","607","235","Siedl.","ok"
"253","610","236","Siedl.","ok"
"254","613","237","Siedl.","ok"
"255","616","238","Siedl.","ok"
"256","619","239","Siedl.","ok"
"257","623","240","Gewäs.","ok"
"258","625","240","Gewäs.","ok"
"259","628","241","Gewäs.","ok"
"260","630","241","Gewäs.","ok"
"261","630","241","Weg","ok"
"262","633","242","Gewäs.","ok"
"263","635","243","Gewäs.","ok"
"264","637","244","Gewäs.","ok"
"265","640","245","Gewäs.","ok"
"266","643","245","Gewäs.","ok"
"267","646","246","Siedl.","ok"
"268","649","247","Gewäs.","ok"
"269","651","248","Gewäs.","ok"
"270","653","249","Gewäs.","ok"
"271","656","249","Gewäs.","ok"
"272","659","249","Gewäs.","ok"
"273","662","250","Gewäs.","ok"
"274","665","251","Gewäs.","ok"
"275","667","252","Siedl.","ok"
"276","670","253","Siedl.","ok"
"277","672","254","Siedl.","ok"
"278","674","254","Gewäs.","ok"
"279","677","254","Gewäs.","ok"
"280","679","254","Weg","ok"
"281","680","255","Gewäs.","ok"
"282","684","256","Gewäs.","ok"
"283","686","257","Gewäs.","ok"
"284","690","258","Gewäs.","ok"
"285","693","258","Gewäs.","ok"
"286","696","259","Siedl.","ok"
"287","698","260","Siedl.","ok"
"288","700","261","Gewäs.","ok"
"289","702","261","Gewäs.","ok"
"290","705","262","Gewäs.","ok"
"291","708","263","Siedl.","ok"
"292","711","264","Admin.","ok"
"293","714","265","Gewäs.","ok"
"294","716","266","Gewäs.","ok"
"295","718","267","Gewäs.","ok"
"296","720","268","Gewäs.","ok"
"297","722","269","Gewäs.","ok"
"298","724","270","Lands.","ok"
"299","726","271","Gewäs.","ok"
"300","728","272","Gewäs.","ok"
"301","730","273","Gewäs.","ok"
"302","732","274","Gewäs.","ok"
"303","734","275","Siedl.","ok"
"304","736","276","Gewäs.","ok"
"305","738","277","Gewäs.","ok"
"306","740","277","Gewäs.","ok"
"307","743","278","Gewäs.","ok"
"308","745","279","Siedl.","ok"
"309","747","280","Siedl.","ok"
"310","750","281","Siedl.","ok"
"311","753","282","Siedl.","ok"
"312","755","283","Siedl.","ok"
"313","758","284","Siedl.","ok"
"314","761","285","Siedl.","ok"
"315","763","286","Siedl.","ok"
"316","766","287","Siedl.","ok"
"317","768","288","Siedl.","ok"
"318","770","289","Siedl.","ok"
"319","772","290","Siedl.","ok"
"320","774","291","Siedl.","ok"
"321","776","292","Siedl.","ok"
"322","779","293","Siedl.","ok"
"323","782","294","Admin.","ok"
"324","784","294","Gewäs.","ok"
"325","787","295","Siedl.","ok"
"326","789","296","Siedl.","ok"
"327","792","297","Siedl.","ok"
"328","794","298","Siedl.","ok"
"329","796","299","Gewäs.","ok"
"330","799","299","Lands.","ok"
"331","802","299","Admin.","ok"
"332","805","300","Admin.","ok"
"333","808","301","Lands.","ok"
"334","810","302","Weg","ok"
"335","812","302","Gewäs.","ok"
"336","815","302","Gewäs.","ok"
"337","818","303","Siedl.","ok"
"338","820","304","Siedl.","ok"
"339","822","305","Siedl.","ok"
"340","824","306","Siedl.","ok"
"341","827","307","Siedl.","ok"
"342","829","308","Siedl.","ok"
"343","832","309","Siedl.","ok"
"344","834","310","Siedl.","ok"
"345","837","311","Eth.","ok"
"346","840","311","Eth.","ok"
"347","843","312","Siedl.","ok"
"348","845","313","Siedl.","ok"
"349","847","314","Siedl.","ok"
"350","850","315","Siedl.","ok"
"351","852","316","Siedl.","ok"
"352","855","317","Siedl.","ok"
"353","857","318","Admin.","ok"
"354","859","319","Siedl.","ok"
"355","862","319","Admin.","ok"
"356","865","320","Siedl.","ok"
"357","867","321","Lands.","ok"
"358","869","322","Siedl.","ok"
"359","871","323","Siedl.","ok"
"360","874","324","Siedl.","ok"
"361","876","324","Gewäs.","ok"
"362","879","325","Siedl.","ok"
"363","881","326","Siedl.","ok"
"364","884","327","Admin.","ok"
"365","886","328","Siedl.","ok"
"366","889","329","Lands.","ok"
"367","892","330","Siedl.","ok"
"368","894","331","Siedl.","ok"
"369","896","332","Siedl.","ok"
"370","898","333","Siedl.","ok"
"371","900","334","Siedl.","ok"
"372","903","335","Siedl.","ok"
"373","906","336","Siedl.","ok"
"374","909","337","Siedl.","ok"
"375","912","338","Siedl.","ok"
"376","914","339","Siedl.","ok"
"377","916","340","Eth.","ok"
"378","918","341","Siedl.","ok"
"379","920","342","Siedl.","ok"
"380","923","343","Siedl.","ok"
"381","926","344","Admin.","ok"
"382","928","345","Siedl.","ok"
"383","931","346","Siedl.","ok"
"384","934","347","Siedl.","ok"
"385","936","348","Siedl.","ok"
"386","939","349","Siedl.","ok"
"387","942","350","Gewäs.","ok"
"388","944","350","Weg","ok"
"389","945","351","Geb.","ok"
"390","948","352","Siedl.","ok"
"391","950","353","Siedl.","ok"
"392","952","354","Siedl.","ok"
"393","955","354","Lands.","ok"
"394","958","355","Siedl.","ok"
"395","961","356","Siedl.","ok"
"396","964","357","Siedl.","ok"
"397","967","358","Siedl.","ok"
"398","970","359","Siedl.","ok"
"399","972","360","Siedl.","ok"
"400","974","361","Siedl.","ok"
"401","977","362","Siedl.","ok"
"402","979","363","Siedl.","ok"
"403","982","364","Siedl.","ok"
"404","984","365","Siedl.","ok"
"405","987","366","Lands.","ok"
"406","989","366","Eth.","ok"
"407","991","367","Siedl.","ok"
"408","993","368","Siedl.","ok"
"409","995","369","Siedl.","ok"
"410","997","370","Siedl.","ok"
"411","1000","371","Siedl.","ok"
"412","1003","372","Siedl.","ok"
"413","1005","373","Siedl.","ok"
"414","1007","374","Lands.","ok"
"415","1009","375","Siedl.","ok"
"416","1011","376","Eth.","ok"
"417","1013","377","Siedl.","ok"
"418","1016","377","Admin.","ok"
"419","1019","378","Admin.","ok"
"420","1022","379","Siedl.","ok"
"421","1024","380","Siedl.","ok"
"422","1026","381","Eth.","ok"
"423","1028","382","Siedl.","ok"
"424","1031","383","Siedl.","ok"
"425","1033","384","Siedl.","ok"
"426","1036","384","Gewäs.","ok"
"427","1039","385","Siedl.","ok"
"428","1042","386","Siedl.","ok"
"429","1045","387","Siedl.","ok"
"430","1048","388","Siedl.","ok"
